sample,gene,r_pearson,r_spearman,n_spots
HCC22-088-P5-S2_F_rep,CXCR5,0.0058967317403342155,0.0018044277515002899,4343
HCC22-088-P6-S1,CD3E,0.03805801307359193,0.05678922517050223,294
HCC22-088-P6-S1,CD4,-0.008710914580452603,-0.02843078203318524,294
HCC22-088-P6-S1,CD8A,0.014944774687758166,0.022606952394040522,294
HCC22-088-P6-S1,CD68,0.021373566745777305,0.0053790177138072544,294
HCC22-088-P6-S1,CD14,-0.016229985603929655,-0.01607790573906711,294
HCC22-088-P6-S1,CD19,-0.012922485697632977,-0.01273455352308232,294
HCC22-088-P6-S1,MS4A1,-0.02560043055569888,-0.031189545488710932,294
HCC22-088-P6-S1,EPCAM,0.14306444672890267,0.17125312756422897,294
HCC22-088-P6-S1,PECAM1,0.07707920271477325,0.09797159535090012,294
HCC22-088-P6-S1,VIM,-0.09780606899285905,0.11035135858525141,294
HCC22-088-P6-S1,KRT5,0.019467972265352244,0.025952501926277776,294
HCC22-088-P6-S1,PCNA,-0.017243229614913452,0.060412301409226515,294
HCC22-088-P6-S1,CD274,-0.004870243636133954,-0.06400764064881626,294
HCC22-088-P6-S1,PDCD1,-0.05748919131284059,-0.07812820674972126,294
HCC22-088-P6-S1,ACTA2,0.16100394626412365,0.18486158466157288,294
HCC22-088-P6-S1,BCL2,0.1986413764875287,0.19589562079355244,294
HCC22-088-P6-S1,CD163,-0.02325249182052193,0.0007355652865025042,294
HCC22-088-P6-S1,CR2,-0.008818771594808296,0.003915484495073457,294
HCC22-088-P6-S1,PAX5,0.07653426046292447,0.06396669189490611,294
HCC22-088-P6-S1,SDC1,0.12809387794404622,0.1236274754093028,294
HCC22-088-P6-S1,FCGR3A,0.037557836017816315,-0.00035573705257593857,294
HCC22-088-P6-S1,ITGAX,0.014559239273859655,0.024346447420993855,294
HCC22-088-P6-S1,ITGAM,-0.030470389355313036,-0.02988520674716721,294
HCC22-088-P6-S1,CCR7,-0.04537468961823293,-0.04352307288805922,294
HCC22-088-P6-S1,CD27,,,294
HCC22-088-P6-S1,CXCR5,-0.03927374809389261,-0.054733543426566715,294
HCC22-088-P6-S2_D,CD3E,-0.021221770443586332,-0.02610965872488847,4766
HCC22-088-P6-S2_D,CD4,0.043664445438255664,0.05008278885719445,4766
HCC22-088-P6-S2_D,CD8A,0.005487493934871267,0.012344902553362028,4766
HCC22-088-P6-S2_D,CD68,0.07737418849681238,0.07440183561560751,4766
HCC22-088-P6-S2_D,CD14,0.06749293539972237,0.08360415137645516,4766
HCC22-088-P6-S2_D,CD19,0.008948808402283702,0.009056931551675671,4766
